category,city,mean,min,max,median
ferrous-metal-scrap,agra,49.75,17.0,140.0,40.0
ferrous-metal-scrap,ahmedabad,264.728,19.2,2000.0,51.0
ferrous-metal-scrap,allahabad,92.00714285714285,0.05,450.0,40.0
ferrous-metal-scrap,amritsar,62.166666666666664,40.5,100.0,46.0
ferrous-metal-scrap,amroha,40.8094,0.047,145.0,19.0
pet-bottle-flake,agra,3000.0,3000.0,3000.0,3000.0
pet-bottle-flake,ahmedabad,55.65,18.0,85.0,55.5
pet-bottle-flake,allahabad,46.0,46.0,46.0,46.0
pet-bottle-flake,amritsar,80.0,80.0,80.0,80.0
